test_id,robot_count,mission_size,inventory_id,scenario,mode,completion_time,average_idle_time
test_5_20_t_agriculture_i1_bl2,5,20,1,agriculture,bl2,916.5022068023682,730.3442235946656
test_5_10_t_agriculture_i1_bl0,5,10,1,agriculture,bl0,433.5021662712097,341.5525136470795
test_5_2_t_cleaning_i2_bl0,5,2,2,cleaning,bl0,93.02247929573059,73.50904860496522
test_5_20_t_surveillance_i2_multi3,5,20,2,surveillance,multi3,555.0227589607239,345.4802758216858
test_5_10_t_cleaning_i1_bl2,5,10,1,cleaning,bl2,460.50207448005676,365.34649934768674
test_10_20_t_surveillance_i1_bl1,10,20,1,surveillance,bl1,879.0402789115906,784.361390709877
test_10_20_t_logistics_i1_bl1,10,20,1,logistics,bl1,1071.0403430461884,961.1781241178512
test_2_2_t_agriculture_i1_multi3,2,2,1,agriculture,multi3,94.50204706192017,25.494551062583923
test_10_20_t_cleaning_i2_multi3,10,20,2,cleaning,multi3,166.50214004516602,67.58741445541382
test_5_10_t_cleaning_i1_bl0,5,10,1,cleaning,bl0,495.0224232673645,392.65478348731995
test_5_10_t_cleaning_i2_bl0,5,10,2,cleaning,bl0,535.5020492076874,426.8338092803955
test_2_10_t_surveillance_i1_bl2,2,10,1,surveillance,bl2,474.0107111930847,234.7216317653656
test_5_10_t_logistics_i1_bl1,5,10,1,logistics,bl1,616.5020952224731,491.86670446395874
test_5_2_t_agriculture_i1_bl2,5,2,1,agriculture,bl2,118.50194549560547,92.68100743293762
test_5_2_t_surveillance_i2_bl0,5,2,2,surveillance,bl0,97.50215172767639,78.27824363708496
test_2_20_t_logistics_i1_bl2,2,20,1,logistics,bl2,1003.5022320747375,490.30360066890717
test_5_20_t_surveillance_i0_bl0,5,20,0,surveillance,bl0,892.5018372535706,702.8355259895325
test_2_10_t_logistics_i2_bl2,2,10,2,logistics,bl2,520.5021419525146,257.85329473018646
test_10_20_t_cleaning_i1_multi3,10,20,1,cleaning,multi3,133.5022268295288,82.92827763557435
test_5_20_t_surveillance_i1_bl2,5,20,1,surveillance,bl2,912.022246837616,724.046778011322
test_10_2_t_agriculture_i0_multi3,10,2,0,agriculture,multi3,88.5012137889862,73.9343961238861
test_5_10_t_logistics_i0_bl1,5,10,0,logistics,bl1,576.023656129837,457.4491714954376
test_5_2_t_agriculture_i1_bl0,5,2,1,agriculture,bl0,115.50203132629395,90.59072494506836
test_2_20_t_surveillance_i2_bl2,2,20,2,surveillance,bl2,780.0106372833252,388.4850205183029
test_10_10_t_logistics_i1_bl2,10,10,1,logistics,bl2,612.0404036045074,549.3437342882156
test_5_10_t_logistics_i2_bl2,5,10,2,logistics,bl2,537.0225510597229,424.08362193107604
test_5_10_t_agriculture_i2_multi3,5,10,2,agriculture,multi3,175.50209403038025,70.18251113891601
test_10_20_t_logistics_i1_bl2,10,20,1,logistics,bl2,1069.5022418498993,956.6443716049195
test_10_20_t_surveillance_i1_multi3,10,20,1,surveillance,multi3,495.04013109207153,396.1066340923309
test_5_20_t_agriculture_i1_multi3,5,20,1,agriculture,multi3,361.5022065639496,148.19323291778565
test_10_20_t_surveillance_i2_bl2,10,20,2,surveillance,bl2,849.0389831066132,759.3589942455292
test_5_2_t_logistics_i1_bl1,5,2,1,logistics,bl1,159.02246284484863,126.88660459518432
test_5_2_t_cleaning_i2_bl1,5,2,2,cleaning,bl1,90.02262234687805,71.71349687576294
test_5_2_t_logistics_i1_multi3,5,2,1,logistics,multi3,124.50186252593994,90.59057025909424
test_10_20_t_agriculture_i0_bl0,10,20,0,agriculture,bl0,895.5021674633026,802.0583263635635
test_2_2_t_agriculture_i0_bl1,2,2,0,agriculture,bl1,112.50202965736389,56.23463678359985
test_2_20_t_cleaning_i0_bl2,2,20,0,cleaning,bl2,957.0107705593109,470.12677097320557
test_2_20_t_logistics_i2_multi3,2,20,2,logistics,multi3,939.0105991363525,346.41301000118256
test_2_10_t_logistics_i2_multi3,2,10,2,logistics,multi3,423.01064133644104,125.20777475833893
test_2_2_t_surveillance_i1_bl1,2,2,1,surveillance,bl1,91.50203847885132,47.240997195243835
test_10_2_t_agriculture_i1_multi3,10,2,1,agriculture,multi3,85.50203537940979,71.52876691818237
test_10_10_t_cleaning_i2_bl1,10,10,2,cleaning,bl1,436.50208568573,393.2949143409729
test_5_2_t_cleaning_i2_multi3,5,2,2,cleaning,multi3,52.5020592212677,34.190378761291505
test_5_2_t_agriculture_i0_bl0,5,2,0,agriculture,bl0,97.50202894210815,76.78216671943665
test_2_20_t_agriculture_i1_bl1,2,20,1,agriculture,bl1,799.5020542144775,398.96200382709503
test_2_2_t_cleaning_i1_bl2,2,2,1,cleaning,bl2,109.50203323364258,54.00231468677521
test_2_10_t_cleaning_i2_bl1,2,10,2,cleaning,bl1,477.010258436203,236.17916476726532
test_10_10_t_logistics_i2_bl2,10,10,2,logistics,bl2,601.5021288394928,536.8483621358871
test_10_10_t_agriculture_i1_bl1,10,10,1,agriculture,bl1,417.0404670238495,375.105428647995
test_5_2_t_surveillance_i1_bl0,5,2,1,surveillance,bl0,117.02247881889343,91.79267358779907
test_5_2_t_surveillance_i2_multi3,5,2,2,surveillance,multi3,69.02246856689453,47.107211112976074
test_2_20_t_agriculture_i0_bl0,2,20,0,agriculture,bl0,853.5020248889923,425.2152533531189
test_5_10_t_surveillance_i1_bl0,5,10,1,surveillance,bl0,439.5021197795868,348.7995322227478
test_5_20_t_logistics_i2_bl2,5,20,2,logistics,bl2,1098.0221519470215,872.075601053238
test_10_2_t_agriculture_i2_bl1,10,2,2,agriculture,bl1,127.50196719169617,114.57986919879913
test_2_10_t_cleaning_i2_multi3,2,10,2,cleaning,multi3,295.5020887851715,17.257313013076782
test_5_10_t_surveillance_i0_multi3,5,10,0,surveillance,multi3,268.5021917819977,159.86245036125183
test_5_10_t_logistics_i2_bl0,5,10,2,logistics,bl0,534.0223989486694,423.19348883628845
test_2_20_t_surveillance_i1_multi3,2,20,1,surveillance,multi3,739.5022461414337,260.18144369125366
test_5_20_t_surveillance_i1_multi3,5,20,1,surveillance,multi3,549.0191779136658,331.46328382492067
test_10_20_t_surveillance_i2_bl0,10,20,2,surveillance,bl0,847.5022187232971,758.1293339967727
test_5_2_t_surveillance_i0_multi3,5,2,0,surveillance,multi3,52.501999616622925,33.58261880874634
